Height,Weight,BMI,Fat or Not
187.5714232,109.7022962,31.2,1
174.7060363,73.61019161,24.1,0
188.2396677,96.48111365,27.2,1
182.1966851,99.79250354,30.1,1
177.4997615,93.58267601,29.7,1
170.8226599,69.03045615,23.7,0
174.7141064,83.41400844,27.3,1
173.6052294,76.17737438,25.3,0
170.2281321,79.78659429,27.5,1
161.1794947,70.92955846,27.3,1
180.836271,84.62808417,25.9,0
181.967645,96.93477075,29.3,1
164.506476,75.79476694,28,1
175.9789981,85.91663556,27.7,1
175.8790799,84.55064308,27.3,1
171.819874,78.0893107,26.5,1
183.9425242,88.90181692,26.3,1
162.4947873,78.4052019,29.7,1
176.8857521,84.34646603,27,1
172.5574523,82.7331737,27.8,1
172.5042275,78.96414018,26.5,1
176.3761773,89.6741141,28.8,1
168.0187952,67.65241088,24,0
191.023173,103.7468393,28.4,1
172.4487187,73.47240444,24.7,0
173.0858433,87.23082839,29.1,1
175.4876638,83.64407002,27.2,1
184.9141425,93.79963238,27.4,1
171.2499554,79.46209633,27.1,1
173.980895,69.99666163,23.1,0
174.2900008,85.0371171,28,1
188.0458714,96.55792531,27.3,1
181.6816687,88.44999692,26.8,1
175.7176092,93.05379651,30.1,1
176.726094,92.59144014,29.6,1
178.8183594,87.48458735,27.4,1
175.4534748,89.56382884,29.1,1
170.6715491,83.36098558,28.6,1
167.1505818,74.30921764,26.6,1
163.3326372,73.97188984,27.7,1
172.654814,78.06603057,26.2,1
183.3611419,88.0024512,26.2,1
165.7866776,76.4706332,27.8,1
167.8690505,73.10359755,25.9,0
171.4762167,74.67586272,25.4,0
178.0661571,85.67904907,27,1
173.3596646,84.83471755,28.2,1
183.3186812,94.8167181,28.2,1
175.7168384,87.08133125,28.2,1
185.0907148,95.84693732,28,1
164.5477608,75.10731347,27.7,1
178.2662167,91.1890785,28.7,1
173.9682836,78.65032213,26,0
171.0203104,82.27105637,28.1,1
170.156998,76.97855211,26.6,1
168.9088567,74.06327814,26,0
173.6167639,86.03637637,28.5,1
179.767126,87.13145002,27,1
180.8884461,89.88592476,27.5,1
177.833948,95.02335592,30,1
181.3640828,90.14049556,27.4,1
176.6620929,89.83198354,28.8,1
187.4990778,88.56717107,25.2,0
170.1720822,74.80421905,25.8,0
181.4029034,81.57093075,24.8,0
165.8094225,70.40835406,25.6,0
173.4164463,83.68226358,27.8,1
184.8240397,100.0807444,29.3,1
172.9724247,83.13499107,27.8,1
174.9976334,89.09356567,29.1,1
175.9953553,83.71682916,27,1
179.1289903,94.11920113,29.3,1
176.9458621,80.36323302,25.7,0
171.6919828,73.97188308,25.1,0
184.1706258,98.05815424,28.9,1
180.9825834,92.8142829,28.3,1
182.3953347,91.12044045,27.4,1
183.5027203,100.1822086,29.8,1
168.9420743,89.09290717,31.2,1
167.7137464,76.48109297,27.2,1
171.645971,82.28240952,27.9,1
173.3462842,90.09463642,30,1
187.5183626,107.8987464,30.7,1
177.2982595,78.47676005,25,0
167.5373276,72.87252454,26,0
180.5407047,85.53420367,26.2,1
169.1543392,94.48784308,33,1
175.1368991,87.72567732,28.6,1
173.3409329,78.96131238,26.3,1
183.6847358,89.50956426,26.5,1
182.4111679,91.43794408,27.5,1
165.7021058,82.09159782,29.9,1
179.4269464,82.59523175,25.7,0
164.419091,80.52120789,29.8,1
170.44302,74.81840395,25.8,0
165.3984116,75.15515293,27.5,1
182.1211344,87.57104921,26.4,1
169.7555107,81.9428059,28.4,1
168.8370392,78.35542989,27.5,1
176.3052766,80.48554023,25.9,0
177.9325308,91.07425728,28.8,1
169.5287558,76.07246045,26.5,1
168.336796,70.02069152,24.7,0
173.5542579,80.71869778,26.8,1
177.992756,83.41898277,26.3,1
174.5817899,81.27201002,26.7,1
171.5923702,71.91291946,24.4,0
168.2842266,75.51180571,26.7,1
175.7227948,77.9971327,25.3,0
171.7271265,79.07672671,26.8,1
176.0035546,85.14528431,27.5,1
173.2043374,91.37776073,30.5,1
181.8819979,92.93742045,28.1,1
175.7600181,81.03652902,26.2,1
170.8453809,74.38296041,25.5,0
187.1603912,101.2562378,28.9,1
176.6245261,92.04458336,29.5,1
173.511362,85.89196626,28.5,1
172.0569672,80.80297306,27.3,1
182.132637,101.2695398,30.5,1
161.6259521,75.74998036,29,1
174.5518441,81.84520726,26.9,1
170.0513278,74.57557624,25.8,0
159.2757539,68.01343238,26.8,1
183.5363587,87.48764925,26,0
180.1079788,91.55736902,28.2,1
171.7290027,81.57280091,27.7,1
179.8359598,89.10100893,27.6,1
176.0341134,85.05743741,27.4,1
168.2569618,77.86537855,27.5,1
171.4301702,86.93859628,29.6,1
167.1478707,75.21571329,26.9,1
181.4670124,84.20078971,25.6,0
173.8995908,80.85342435,26.7,1
